Height,Width,Has Bounding Box
600,400,1
375,500,1
394,500,1
450,313,1
500,465,1
500,351,1
600,363,0
500,375,1
1536,1024,1
500,448,1
500,404,1
282,450,1
192,288,1
400,319,1
500,402,1
490,500,1
640,425,1
640,423,1
500,367,1
333,500,1
500,401,1
333,500,1
300,297,1
335,500,1
267,400,1
242,233,1
300,278,1
500,333,1
333,500,1
500,359,1
500,423,1
266,400,1
500,375,1
333,500,1
245,280,1
333,500,1
311,320,1
500,333,1
700,496,1
500,440,1
333,500,1
333,500,1
1600,1200,1
500,333,1
500,333,1
335,500,1
500,333,1
461,500,1
500,433,1
500,461,1
500,359,1
800,577,1
333,500,1
500,375,1
500,375,1
477,422,1
500,363,1
350,233,1
424,500,1
500,263,1
500,426,1
581,371,1
500,348,1
500,375,1
500,375,1
305,201,1
500,335,1
500,375,1
640,480,1
500,328,1
500,353,1
300,223,1
313,310,1
400,272,1
300,300,1
275,411,1
1600,1200,1
768,712,1
400,267,1
317,246,1
600,234,1
400,467,1
214,320,1
400,400,1
263,360,1
335,500,1
400,353,1
198,320,1
500,375,1
400,300,1
378,300,1
300,225,1
400,352,1
297,300,1
300,224,1
300,176,1
300,225,1
177,300,1
300,225,1
190,300,1
600,473,0
400,383,0
300,225,0
300,225,0
229,300,0
240,300,0
300,279,0
208,278,0
500,375,0
241,300,0
240,240,0
224,300,0
300,225,0
300,225,0
241,244,0
207,300,0
500,373,0
300,225,0
300,248,0
300,225,0
225,300,0
225,300,0
300,225,0
300,225,0
300,256,0
277,300,0
800,600,0
335,500,0
500,369,0
400,286,0
1200,1600,0
600,869,0
335,500,0
300,400,0
1600,1200,0
450,300,0
250,202,0
480,360,0
1600,1200,0
335,500,0
1646,1278,0
335,500,0
990,962,0
190,168,0
335,500,0
500,335,0
299,448,0
335,500,0
200,150,0
335,500,0
728,597,0
500,335,0
500,442,0
275,275,0
250,188,0
375,500,0
335,500,0
414,500,0
500,335,0
1000,842,0
500,335,0
150,116,0
400,267,0
320,480,0
366,282,0
335,500,0
335,500,0
250,266,0
335,500,0
833,539,0
335,500,0
400,267,0
335,500,0
275,380,0
288,500,0
500,375,0
300,450,0
400,300,0
500,335,0
1280,800,0
500,375,0
331,449,0
393,500,0
266,400,0
500,449,0
333,500,0
400,300,0
500,357,0
500,400,0
450,385,0
401,500,0
260,262,0
400,500,0
500,375,0
375,500,0
375,500,0
375,500,0
375,500,0
500,386,0
450,299,0
500,334,1
500,333,1
500,334,1
334,500,1
375,500,1
500,332,1
500,332,1
325,500,1
376,500,1
375,500,1
335,500,1
500,375,1
500,441,1
500,333,1
333,500,1
500,333,1
500,375,1
500,333,1
375,500,1
375,500,1
375,500,1
334,500,1
500,333,1
500,334,1
500,333,1
500,333,1
332,500,1
375,500,1
500,465,1
353,500,1
500,334,1
500,281,1
382,500,1
500,333,1
420,500,1
500,376,1
375,500,1
500,334,1
500,334,1
500,334,1
333,500,1
500,333,1
333,500,1
334,500,1
500,376,1
500,333,1
333,500,1
333,500,1
500,333,1
500,375,1
375,500,1
500,333,1
500,375,1
375,500,1
334,500,1
500,334,1
500,334,1
500,334,1
500,384,1
500,333,1
500,334,1
500,333,1
500,375,1
375,500,1
500,375,1
500,375,1
500,333,1
394,500,1
375,500,1
500,333,1
500,333,1
291,331,1
500,333,1
500,327,1
500,334,1
500,334,1
500,374,1
500,334,1
500,334,1
500,375,1
500,333,1
500,333,1
500,333,1
375,500,1
500,333,1
500,500,1
334,500,1
500,333,1
500,375,1
500,333,1
500,406,1
500,335,1
461,500,1
500,323,1
500,335,1
500,338,1
500,334,1
500,333,0
376,500,0
500,319,1
500,335,1
412,500,1
334,500,0
500,335,0
500,335,0
500,334,0
446,500,0
334,500,0
500,335,0
500,376,0
420,500,0
500,335,0
500,434,0
449,500,0
334,500,0
500,335,0
500,317,0
500,333,0
500,333,0
334,500,0
334,500,0
500,334,0
376,500,0
334,500,0
334,500,0
500,287,0
334,500,0
351,500,0
376,500,0
334,500,0
334,500,0
500,375,0
334,500,0
500,343,0
359,500,0
500,375,0
500,375,0
500,375,0
500,375,0
500,403,0
334,500,0
333,500,0
333,500,0
376,500,0
500,376,0
376,500,0
375,500,0
334,500,0
500,333,0
365,500,0
333,500,0
334,500,0
334,500,0
332,500,0
500,334,0
500,334,0
500,376,0
500,376,0
500,376,0
500,333,0
375,500,0
500,376,0
500,376,0
500,333,0
500,334,0
500,333,0
500,400,0
400,500,0
333,500,0
500,376,0
375,500,0
334,500,0
375,500,0
332,500,0
375,500,0
500,333,0
500,333,0
500,333,0
500,396,0
500,333,0
500,333,0
500,375,0
334,500,0
375,500,0
500,376,0
500,376,0
376,500,0
500,376,0
500,336,0
500,334,0
375,500,0
500,333,0
335,500,0
335,500,0
500,332,0
500,332,0
500,337,0
500,333,0
375,500,0
333,500,0
500,333,0
500,368,1
333,500,1
397,500,1
350,383,1
500,333,1
500,333,1
333,500,1
333,500,1
333,500,1
500,333,1
246,300,1
375,500,1
263,300,1
300,225,1
300,225,1
164,300,1
300,246,1
191,300,1
300,199,1
300,199,1
300,199,1
300,225,1
342,500,1
300,292,1
299,300,1
300,246,1
243,300,1
225,300,1
300,225,1
119,200,1
300,225,1
202,300,1
214,300,1
375,500,1
237,300,1
300,257,1
228,300,1
230,300,1
300,252,1
300,225,1
300,225,1
300,225,1
237,300,1
300,219,1
500,475,1
300,291,1
225,300,1
300,222,1
290,300,1
300,174,1
300,225,1
246,300,1
300,225,1
300,225,1
224,300,1
375,500,1
225,300,1
300,294,1
236,300,1
300,230,1
300,226,1
300,225,1
215,216,1
267,300,1
190,300,1
291,300,1
500,333,1
300,280,1
258,300,1
300,225,1
300,225,1
225,300,1
300,225,1
300,225,1
239,300,1
288,300,1
300,225,1
500,333,1
300,291,1
300,240,1
239,300,1
300,225,1
223,300,1
223,300,1
300,240,1
300,225,1
300,225,1
216,300,1
375,500,1
300,245,1
300,300,1
300,224,1
225,300,1
199,300,1
300,276,1
300,225,1
300,300,1
300,225,1
300,229,1
333,500,0
300,225,1
300,300,0
234,300,0
225,300,0
300,225,0
291,300,0
300,257,0
250,269,0
300,225,0
300,225,0
500,333,0
491,434,0
300,257,0
199,300,0
300,225,0
225,300,0
300,207,0
500,379,0
500,332,0
417,500,0
500,401,0
500,332,0
500,332,0
500,357,0
500,333,0
500,379,0
375,500,0
500,414,0
500,489,0
500,375,0
500,379,0
375,500,0
500,374,0
500,332,0
500,379,0
500,332,0
332,500,0
500,460,0
500,363,0
375,500,0
500,334,0
500,333,0
333,500,0
375,500,0
500,387,0
500,375,0
456,462,0
375,500,0
375,500,0
500,375,0
500,375,0
500,375,0
337,500,0
500,335,0
334,500,0
375,500,0
375,500,0
500,375,0
258,258,0
500,334,0
500,333,0
333,500,0
500,333,0
500,375,0
500,347,0
375,500,0
500,334,0
500,375,0
500,334,0
375,500,0
500,375,0
500,375,0
500,375,0
500,375,0
375,500,0
