filename,breed,family
Abyssinian_1,Abyssinian,cat
Abyssinian_10,Abyssinian,cat
Abyssinian_100,Abyssinian,cat
Abyssinian_101,Abyssinian,cat
Abyssinian_102,Abyssinian,cat
Abyssinian_103,Abyssinian,cat
Abyssinian_104,Abyssinian,cat
Abyssinian_105,Abyssinian,cat
Abyssinian_106,Abyssinian,cat
Abyssinian_107,Abyssinian,cat
Abyssinian_108,Abyssinian,cat
Abyssinian_109,Abyssinian,cat
Abyssinian_11,Abyssinian,cat
Abyssinian_110,Abyssinian,cat
Abyssinian_111,Abyssinian,cat
Abyssinian_112,Abyssinian,cat
Abyssinian_113,Abyssinian,cat
Abyssinian_114,Abyssinian,cat
Abyssinian_115,Abyssinian,cat
Abyssinian_116,Abyssinian,cat
Abyssinian_117,Abyssinian,cat
Abyssinian_118,Abyssinian,cat
Abyssinian_119,Abyssinian,cat
Abyssinian_12,Abyssinian,cat
Abyssinian_120,Abyssinian,cat
Abyssinian_121,Abyssinian,cat
Abyssinian_122,Abyssinian,cat
Abyssinian_123,Abyssinian,cat
Abyssinian_124,Abyssinian,cat
Abyssinian_125,Abyssinian,cat
Abyssinian_126,Abyssinian,cat
Abyssinian_127,Abyssinian,cat
Abyssinian_128,Abyssinian,cat
Abyssinian_129,Abyssinian,cat
Abyssinian_13,Abyssinian,cat
Abyssinian_130,Abyssinian,cat
Abyssinian_131,Abyssinian,cat
Abyssinian_132,Abyssinian,cat
Abyssinian_133,Abyssinian,cat
Abyssinian_134,Abyssinian,cat
Abyssinian_135,Abyssinian,cat
Abyssinian_136,Abyssinian,cat
Abyssinian_137,Abyssinian,cat
Abyssinian_138,Abyssinian,cat
Abyssinian_139,Abyssinian,cat
Abyssinian_14,Abyssinian,cat
Abyssinian_140,Abyssinian,cat
Abyssinian_141,Abyssinian,cat
Abyssinian_142,Abyssinian,cat
Abyssinian_143,Abyssinian,cat
Abyssinian_144,Abyssinian,cat
Abyssinian_145,Abyssinian,cat
Abyssinian_146,Abyssinian,cat
Abyssinian_148,Abyssinian,cat
Abyssinian_149,Abyssinian,cat
Abyssinian_15,Abyssinian,cat
Abyssinian_150,Abyssinian,cat
Abyssinian_151,Abyssinian,cat
Abyssinian_152,Abyssinian,cat
Abyssinian_153,Abyssinian,cat
Abyssinian_154,Abyssinian,cat
Abyssinian_155,Abyssinian,cat
Abyssinian_156,Abyssinian,cat
Abyssinian_157,Abyssinian,cat
Abyssinian_158,Abyssinian,cat
Abyssinian_159,Abyssinian,cat
Abyssinian_16,Abyssinian,cat
Abyssinian_160,Abyssinian,cat
Abyssinian_161,Abyssinian,cat
Abyssinian_164,Abyssinian,cat
Abyssinian_165,Abyssinian,cat
Abyssinian_166,Abyssinian,cat
Abyssinian_167,Abyssinian,cat
Abyssinian_168,Abyssinian,cat
Abyssinian_169,Abyssinian,cat
Abyssinian_17,Abyssinian,cat
Abyssinian_170,Abyssinian,cat
Abyssinian_172,Abyssinian,cat
Abyssinian_173,Abyssinian,cat
Abyssinian_174,Abyssinian,cat
Abyssinian_175,Abyssinian,cat
Abyssinian_176,Abyssinian,cat
Abyssinian_177,Abyssinian,cat
Abyssinian_178,Abyssinian,cat
Abyssinian_179,Abyssinian,cat
